		Freq	Parse-Seg	Parse-Syllable	FtBin	NonFinality	NonFinality-Foot	NonInitiality-Ft	WSP	Trochee	Iamb	All-Ft-L	All-Ft-R	Leftmost	Rightmost	Align-wd-L	Align-wd-R	Rh-Contour	Ident-Prom
		Freq	Parse-Seg	Parse-Syllable	FtBin	NonFinality	NonFinality-Foot	NonInitiality-Ft	WSP	Trochee	Iamb	All-Ft-L	All-Ft-R	Leftmost	Rightmost	Align-wd-L	Align-wd-R	Rh-Contour	Ident-Prom
	[L H1 V:] \-> (L H1) V:			1				1	1	1			1		1		1		1
	[L H1 V:] \-> L (H1 V:)			1			1		1		1	1		1		1			1
	[L H1 V:] \-> L (H1) V:			2					1			1	1	1	1	1	1		1
	[L H V:1] \-> L (H V:1)			1		1	1		1	1		1		1		1			1
	[L H V:1] \-> L H (V:1)			2		1	1		1			2		2		1			1
/L H1 V:/	[L1 H V:] \-> (L1 H) V:			1				1	2		1		1		1		1		1
	[L1 H V:] \-> (L1) H V:			2	1			1	2				2		2		1		1
	[L H1 V:] \-> (L H1) V:			1				1	1	1			1		1		1		
	[L H1 V:] \-> L (H1 V:)	1		1			1		1		1	1		1		1			
	[L H1 V:] \-> L (H1) V:			2					1			1	1	1	1	1	1		
	[L H V:1] \-> L (H V:1)			1		1	1		1	1		1		1		1			1
	[L H V:1] \-> L H (V:1)			2		1	1		1			2		2		1			1
/L H V:1/	[L1 H V:] \-> (L1 H) V:			1				1	2		1		1		1		1		1
	[L1 H V:] \-> (L1) H V:			2	1			1	2				2		2		1		1
	[L H1 V:] \-> (L H1) V:			1				1	1	1			1		1		1		1
	[L H1 V:] \-> L (H1 V:)			1			1		1		1	1		1		1			1
	[L H1 V:] \-> L (H1) V:			2					1			1	1	1	1	1	1		1
	[L H V:1] \-> L (H V:1)			1		1	1		1	1		1		1		1			
	[L H V:1] \-> L H (V:1)	1		2		1	1		1			2		2		1			
/L1 H VC/	[L1 H VC] \-> (L1 H) VC	1		1				1	2		1		1		1		1		
	[L1 H VC] \-> (L1) H VC			2	1			1	2				2		2		1		
	[L H1 VC] \-> (L H1) VC			1				1	1	1			1		1		1		1
	[L H1 VC] \-> L (H1 VC)			1			1		1		1	1		1		1			1
	[L H1 VC] \-> L (H1 V)C		1	1							1	1		1		1	1		1
	[L H1 VC] \-> L (H1) VC			2					1			1	1	1	1	1	1		1
	[L H V1C] \-> L (H V1C)			1		1	1		1	1		1		1		1			1
	[L H V1C] \-> L (H V1)C		1	1		1			1	1		1		1		1	1	1	1
	[L H V1C] \-> L H (V1C)			2		1	1		1			2		2		1			1
	[L H V1C] \-> L H (V1)C		1	2	1	1			1			2		2		1	1		1
/L H1 VC/	[L1 H VC] \-> (L1 H) VC			1				1	2		1		1		1		1		1
	[L1 H VC] \-> (L1) H VC			2	1			1	2				2		2		1		1
	[L H1 VC] \-> (L H1) VC			1				1	1	1			1		1		1		
	[L H1 VC] \-> L (H1 VC)			1			1		1		1	1		1		1			
	[L H1 VC] \-> L (H1 V)C	1	1	1							1	1		1		1	1		
	[L H1 VC] \-> L (H1) VC			2					1			1	1	1	1	1	1		
	[L H V1C] \-> L (H V1C)			1		1	1		1	1		1		1		1			1
	[L H V1C] \-> L (H V1)C		1	1		1			1	1		1		1		1	1	1	1
	[L H V1C] \-> L H (V1C)			2		1	1		1			2		2		1			1
	[L H V1C] \-> L H (V1)C		1	2	1	1			1			2		2		1	1		1
/L H V1C/	[L1 H VC] \-> (L1 H) VC			1				1	2		1		1		1		1		1
	[L1 H VC] \-> (L1) H VC			2	1			1	2				2		2		1		1
	[L H1 VC] \-> (L H1) VC			1				1	1	1			1		1		1		1
	[L H1 VC] \-> L (H1 VC)			1			1		1		1	1		1		1			1
	[L H1 VC] \-> L (H1 V)C		1	1							1	1		1		1	1		1
	[L H1 VC] \-> L (H1) VC			2					1			1	1	1	1	1	1		1
	[L H V1C] \-> L (H V1C)			1		1	1		1	1		1		1		1			
	[L H V1C] \-> L (H V1)C		1	1		1			1	1		1		1		1	1	1	
	[L H V1C] \-> L H (V1C)	1		2		1	1		1			2		2		1			
	[L H V1C] \-> L H (V1)C		1	2	1	1			1			2		2		1	1		
/L1 H V:C/	[L1 H V:C] \-> (L1 H) V:C	1		1				1	2		1		1		1		1		
	[L1 H V:C] \-> (L1) H V:C			2	1			1	2				2		2		1		
	[L H1 V:C] \-> (L H1) V:C			1				1	1	1			1		1		1		1
	[L H1 V:C] \-> L (H1 V:C)			1			1		1		1	1		1		1			1
	[L H1 V:C] \-> L (H1 V:)C		1	1					1		1	1		1		1	1		1
	[L H1 V:C] \-> L (H1) V:C			2					1			1	1	1	1	1	1		1
	[L H V:1C] \-> L (H V:1C)			1		1	1		1	1		1		1		1			1
	[L H V:1C] \-> L (H V:1)C		1	1		1			1	1		1		1		1	1		1
	[L H V:1C] \-> L H (V:1C)			2		1	1		1			2		2		1			1
